track_id,track_name,popularity,duration,artist,liveness,danceability,energy,loudness,speechiness,acousticness,valence
7CzTDKe3FmQ8X9I1bUMXec,Deu Bom,35,177246,Grupo K.O,0.127,0.612,0.604,-7.052,0.0314,0.673,0.819
6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,81,145308,Vitor e Luan|Henrique & Juliano,0.451,0.677,0.908,-2.513,0.0556,0.379,0.885
79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,72,188671,Diego & Victor Hugo,0.251,0.547,0.571,-5.816,0.0412,0.783,0.38
0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),81,302117,Mc Poze do Rodo|Bielzin|Mainstreet|MC Cabelinho|PL Quest|Neo Beats,0.105,0.623,0.656,-3.662,0.229,0.288,0.576
41pFFOnh1glVNIlrWOpBjb,Se Joga no Passinho,81,200000,Brisa Star|Thiago Jhonathan (TJ),0.032,0.654,0.83,-3.052,0.0467,0.391,0.866
53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,80,145573,Mc Poze do Rodo|Mainstreet|Ajaxx,0.131,0.621,0.499,-6.998,0.481,0.385,0.421
1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,81,213006,Tayrone|Marília Mendonça,0.713,0.782,0.845,-3.731,0.0721,0.501,0.771
5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,80,190161,Henrique & Juliano,0.87,0.292,0.626,-4.78,0.0533,0.571,0.305
1tdDDOJRdbo1Uz47D1k62G,Passinho Debochado,80,85333,Dan Ventura,0.0411,0.781,0.829,-3.483,0.184,0.0787,0.894
3jSG8oE8doxDxmpe5GlFee,"Não, Não Vou",79,173037,Mari Fernandez,0.215,0.631,0.861,-1.891,0.0424,0.427,0.822
4DWKtQVURjepn8uzBgmwuv,Doutora 3,80,157088,Mc Kevin,0.215,0.882,0.419,-11.967,0.11,0.11,0.163
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),93,141805,The Kid LAROI|Justin Bieber,0.103,0.591,0.764,-5.484,0.0483,0.0383,0.478
6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,80,165380,Matheus & Kauan|Zé Vaqueiro,0.108,0.47,0.917,-4.532,0.111,0.089,0.651
6HV630GY0GT3RN2efFRmbP,Troca,80,171263,Jorge & Mateus,0.0887,0.758,0.697,-4.103,0.0347,0.647,0.81
